doi,type of publication,repository link,link to publication,title,authors,title of the journal etc,number etc,relevant pages,ISBN,publisher,place of publication,year of publication,open access,peer reviewed
10.3390/e21040350,Article in Journal,https://www.mdpi.com/1099-4300/21/4/350/htm,http://dx.doi.org/10.3390/e21040350,Making the Environment an Informative Place: A Conceptual Analysis of Epistemic Policies and Sensorimotor Coordination,"Giovanni Pezzulo, Stefano Nolfi","Entropy, Vol. 21, No. 4",,,,MDPI AG,,2019,Gold,True
10.3389/fnhum.2019.00105,Article in Journal,None,http://dx.doi.org/10.3389/fnhum.2019.00105,Beyond Research Ethics: Dialogues in Neuro-ICT Research,"Bernd Carsten Stahl, Simisola Akintoye, B. Tyr Fothergill, Manuel Guerrero, Will Knight, Inga Ulnicane","Frontiers in Human Neuroscience, Vol. 13",,,,Frontiers Media SA,,2019,Green,False
10.1371/journal.pbio.2006405,Article in Journal,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6457573/,http://dx.doi.org/10.1371/journal.pbio.2006405,Areal differences in depth cue integration between monkey and human,"Marcelo Armendariz, Hiroshi Ban, Andrew E. Welchman, Wim Vanduffel","PLOS Biology, Vol. 17, No. 3",,,,Public Library of Science (PLoS),,2019,Gold,True
10.3389/fnana.2019.00035,Article in Journal,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6445857/,http://dx.doi.org/10.3389/fnana.2019.00035,Tailored Sample Mounting for Light-Sheet Fluorescence Microscopy of Clarified Specimens by Polydimethylsiloxane Casting,"Antonino Paolo Di Giovanna, Caterina Credi, Alessandra Franceschini, Marie Caroline Müllenbroich, Ludovico Silvestri, Francesco Saverio Pavone","Frontiers in Neuroanatomy, Vol. 13",,,,Frontiers Media SA,,2019,Gold,True
10.3389/fnins.2019.00231,Article in Journal,https://www.frontiersin.org/articles/10.3389/fnins.2019.00231/full,http://dx.doi.org/10.3389/fnins.2019.00231,SpiNNTools: The Execution Engine for the SpiNNaker Platform,"Andrew G. D. Rowley, Christian Brenninkmeijer, Simon Davidson, Donal Fellows, Andrew Gait, David R. Lester, Luis A. Plana, Oliver Rhodes, Alan B. Stokes, Steve B. Furber","Frontiers in Neuroscience, Vol. 13",,,,Frontiers Media SA,,2019,Gold,True
None,Publication In Conference Or Workshop,https://pub.uni-bielefeld.de/record/2935328,https://researcher.watson.ibm.com/researcher/files/us-ealtman/FastPath2019_Program.pdf,Benchmarking and Characterization of event-based Neuromorphic Hardware,"Christoph Ostrau, Christian Klarhorst, Michael Thies, Ulrich Rückert",FastPath 2019 - Sixth International Workshop on Performance Analysis of Machine Learning Systems,,,,None,,2019,Green,True
None,Paper In Conference Or Workshop,None,https://www.uni-weimar.de/fileadmin/user/fak/medien/professuren/Virtual_Reality/documents/publications/2019-collaborative-vr-neurorobotics-lab.pdf,The Collaborative Virtual Reality Neurorobotics Lab,"Carl Matthes, Tim Weissker, Emmanouil Angelidis, Alexander Kulik, Stephan Beck, Andre Kunert, Anton Frolov, Sandro Weber, Adrian Kreskowski, Bernd Froehlich",None,,,,In Proceedings of the 2nd Workshop on Neuroscience and Virtuality,,2019,Green,True
None,Paper In Conference Or Workshop,None,https://www.uni-weimar.de/fileadmin/user/fak/medien/professuren/Virtual_Reality/documents/publications/2019-multi-ray-jumping-ieee-vr-preprint.pdf,Multi-Ray Jumping: Comprehensible Group Navigation for Collocated Users in Immersive Virtual Reality,"Tim Weissker, Alexander Kulik, Bernd Froehlich",None,,,,IEEE Conference on Virtual Reality and 3D User Interfaces,,2019,No,True
10.1101/586149,Article in Journal,https://www.biorxiv.org/content/10.1101/586149v1?rss=1,http://dx.doi.org/10.1101/586149,Measures of states of consciousness during attentional and cognitive load,"André S. Nilsen, Bjørn E. Juel, Johan F. Storm",BioRxiv,,,,Cold Spring Harbor Laboratory,,2019,Green,False
None,Unknown,https://arxiv.org/abs/1903.08941,https://arxiv.org/abs/1903.08941,Dynamic Power Management for Neuromorphic Many-Core Systems,"Sebastian Hoeppner, Bernhard Vogginger, Yexin Yan, Andreas Dixius, Stefan Scholze, Johannes Partzsch, Felix Neumaerker, Stephan Hartmann, Stefan Schiefer, Georg Ellguth, Love Cederstroem, Luis Plana, Jim Garside, Steve Furber, Christian Mayr",None,,,,None,,2019,Gold,False
